URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),DiscountAmount,DiscountedAmount,DiscountOffer(%),SizeOption,Ratings,Reviews,High/Low Discount,,,1),Calculate the overall average original price for products with ratings greater than 4.
https://www.myntra.com/shirts/roadster/roadster-men-sea-green-pure-cotton-sustainable-casual-shirt/12918912/buy,12918912,Roadster,Topwear,shirts,Men,roadster men sea green pure cotton sustainable casual shirt,1199,599.5,599,50,"38, 40, 42, 44, 46, 48",4.3,988,Low Discount,,,,
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-black-self-striped-seamless-rapid-dry-yoga-tights/11245584/buy,11245584,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan black self striped seamless rapid dry yoga tights,1699,1104.35,594,65,"XS, S, M, L, XL, XXL",4,988,High Discount,,,,
https://www.myntra.com/trousers/sassafras/sassafras-women-olive-green-peg-trousers/8643285/buy,8643285,SASSAFRAS,Western,trousers,Women,sassafras women olive green peg trousers,1599,799.5,799,50,"26, 28, 30, 32, 34, 36",3.6,988,Low Discount,,,,
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-white--black-floral-monochrome-smart-casual-top/9451341/buy,9451341,her by invictus,Western,tops,Women,her by invictus white  black floral monochrome smart casual top,1699,509.7,1189,30,"S, M, L, XL, XXL",4.2,988,Low Discount,,,,
https://www.myntra.com/jackets/stylestone/stylestone-women-blue-solid-denim-jacket/7526008/buy,7526008,StyleStone,Western,jackets,Women,stylestone women blue solid denim jacket,1999,1099.45,899,55,"S, M, L, XL",4.2,988,High Discount,,,,
https://www.myntra.com/tops/mayra/mayra-women-mustard-yellow--green-ditsy-floral-printed-cinched-waist-top/11235516/buy,11235516,Mayra,Western,tops,Women,mayra women mustard yellow  green ditsy floral printed cinched waist top,995,577.1,417,58,"S, M, L, XL",4.1,988,High Discount,,,,
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-super-skinny-fit-acid-wash-clean-look-stretchable-jeans/10064541/buy,10064541,Roadster,Bottom Wear,jeans,Men,roadster men navy blue super skinny fit acid wash clean look stretchable jeans,1999,1199.4,799,60,"28, 30, 32, 34, 36, 38, 40",3.8,987,High Discount,,,,
https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-terry-socks/976816/buy,976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,hrx by hrithik roshan men quarter length pack of 3 terry socks,599,239.6,359,40,Onesize,4.5,987,Low Discount,,,,
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-olive-green--yellow-striped-cotton-pure-cotton-t-shirt/11269190/buy,11269190,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green  yellow striped cotton pure cotton t shirt,1199,719.4,479,60,"S, M, L, XL",4.2,987,High Discount,,,,
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-olive-green-printed-round-neck-pure-cotton-t-shirt/10266495/buy,10266495,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green printed round neck pure cotton t shirt,999,599.4,399,60,"S, M, L, XL",4,987,High Discount,,,,
